"code","zone","number","address"
"V-24","V","24","Paseo de los Pinos no. 24"
"V-25","V","25","Paseo de los Pinos no. 25"
"V-26","V","26","Paseo de los Pinos no. 26"
"V-27","V","27","Paseo de los Pinos no. 27"
"V-28","V","28","Paseo de los Pinos no. 28"
"V-29","V","29","Paseo de los Pinos no. 29"
"V-3","V","3","Paseo de los Pinos no. 3"
"V-30","V","30","Paseo de los Pinos no. 30"
"V-31","V","31","Paseo de los Pinos no. 31"
"V-32","V","32","Paseo de los Pinos no. 32"
"V-33","V","33","Paseo del Manantial no. 214"
"V-34","V","34","Paseo del Manantial no. 212"
"V-35","V","35","Paseo del Manantial no. 210"
"V-36","V","36","Paseo del Manantial no. 208"
"V-37","V","37","Paseo de los Pinos no. 37"
"V-38","V","38","Paseo de los Pinos no. 38"
"V-39","V","39","Paseo de los Pinos no. 39"
"V-4","V","4","Paseo de los Pinos no. 4"
"V-40","V","40","Paseo de los Pinos no. 40"
"V-41","V","41","Paseo de los Pinos no. 41"
"V-42","V","42","Paseo de los Pinos no. 42"
"V-43","V","43","Paseo de los Pinos no. 43"
"V-44","V","44","Paseo de los Pinos no. 44"
"V-45","V","45","Paseo de los Pinos no. 45"
"V-46","V","46","Paseo de los Pinos no. 46"
"V-47","V","47","Paseo de los Pinos no. 47"
"V-48","V","48","#N/A"
"V-49","V","49","Paseo de los Pinos no. 49"
"V-5","V","5","Paseo de los Pinos no. 5"
"V-50","V","50","Paseo de los Pinos no. 50"
"V-51","V","51","Paseo de los Pinos no. 51"
"V-52","V","52","Paseo de los Pinos no. 52"
"V-53","V","53","Paseo de los Pinos no. 53"
"V-54","V","54","Paseo de los Pinos no. 54"
"V-55","V","55","Paseo de los Pinos no. 55"
"V-56","V","56","Paseo de los Pinos no. 56"
"V-57","V","57","Paseo de los Pinos no. 57"
"V-58","V","58","Paseo de los Pinos no. 58"
"V-59","V","59","Paseo del Manantial no. 222"
"V-6","V","6","Paseo de los Pinos no. 6"
"V-60","V","60","Paseo del Manantial no. 220"
"V-61","V","61","Paseo del Manantial no. 218"
"V-62","V","62","Paseo de los Pinos no. 62"
"V-63","V","63","Paseo de los Pinos no. 63"
"V-64","V","64","Paseo de los Pinos no. 64"
"V-65","V","65","Paseo de los Pinos no. 65"
"V-66","V","66","Paseo de los Pinos no. 66"
"V-67","V","67","Paseo de los Pinos no. 67"
"V-68","V","68","Paseo de los Pinos no. 68"
"V-69","V","69","Paseo de los Pinos no. 69"
"V-70","V","70","Paseo de los Pinos no. 70"
"V-71","V","71","Paseo de los Pinos no. 71"
"V-72","V","72","Paseo de los Pinos no. 72"
"V-73","V","73","Paseo de los Pinos no. 73"
"V-74","V","74","Paseo de los Pinos no. 74"
"V-75","V","75","Paseo de los Pinos no. 75"
"V-76","V","76","Paseo de los Pinos no. 76"
"V-77","V","77","Paseo de los Pinos no. 77"
"V-78","V","78","Paseo de los Pinos no. 78"
"V-79","V","79","Paseo de los Pinos no. 79"
"V-8","V","8","Paseo de los Pinos no. 8"
"V-80","V","80","Paseo de los Pinos no. 80"
"V-81","V","81","Paseo de los Pinos no. 81"
"V-82","V","82","Paseo de los Pinos no. 82"
"V-83","V","83","Paseo de los Pinos no. 83"
"V-84","V","84","Paseo de los Pinos no. 84"
"V-85","V","85","Paseo de los Pinos no. 85"
"V-86","V","86","Paseo de los Pinos no. 86"
"V-87","V","87","Paseo de los Pinos no. 87"
"V-9","V","9","Paseo de los Pinos no. 9"
"VI-1","VI","1","Paseo del Manantial no. 249"
"VI-10","VI","10","Paseo del Manantial no. 229"
"VI-11","VI","11","Paseo del Manantial no. 227"
"VI-12","VI","12","Paseo del Manantial no. 228"
"VI-13","VI","13","Paseo del Manantial no. 230"
"VI-14","VI","14","Paseo del Manantial no. 232"
"VI-15","VI","15","Paseo del Manantial no. 234"
"VI-16","VI","16","Paseo de los Olmos no. 16"
"VI-17","VI","17","Paseo de los Olmos no. 17"
"VI-18","VI","18","Paseo de los Olmos no. 18"
"VI-19","VI","19","Paseo de los Olmos no. 19"
"VI-1A","VI","1A","Paseo del Manantial no. 247"
"VI-2","VI","2","Paseo del Manantial no. 245"
"VI-20","VI","20","Paseo de los Olmos no. 20"
"VI-21","VI","21","Paseo de los Olmos no. 21"
"VI-22","VI","22","Paseo de los Olmos no. 22"
"VI-23","VI","23","Paseo de los Olmos no. 23"
"VI-24","VI","24","Paseo de los Olmos no. 24"
"VI-25","VI","25","Paseo de los Olmos no. 25"
"VI-26","VI","26","Paseo de los Olmos no. 26"
"VI-26A ","VI","26A ","#N/A"
"VI-27","VI","27","Paseo de los Olmos no. 27"
"VI-28","VI","28","Paseo de los Olmos no. 28"
"VI-29","VI","29","Paseo de los Olmos no. 29"
"VI-3","VI","3","Paseo del Manantial no. 243"
"VI-30","VI","30","Paseo de los Olmos no. 30"
"VI-31","VI","31","Paseo de los Olmos no. 31"
"VI-32","VI","32","Paseo de los Olmos no. 32"
"VI-33","VI","33","Paseo de los Olmos no. 33"
"VI-34","VI","34","Paseo de los Olmos no. 34"
"VI-35","VI","35","Paseo de los Olmos no. 35"
"VI-36","VI","36","Paseo de los Olmos no. 36"
"VI-37","VI","37","Paseo de los Olmos no. 37"
"VI-38","VI","38","Paseo de los Olmos no. 38"
"VI-39","VI","39","Paseo de los Olmos no. 39"
"VI-4","VI","4","Paseo del Manantial no. 241"
"VI-40","VI","40","Paseo de los Olmos no. 40"
"VI-41","VI","41","Paseo de los Olmos no. 41"
"VI-42","VI","42","Paseo de los Olmos no. 42"
"VI-43","VI","43","Paseo de los Olmos no. 43"
"VI-44","VI","44","Paseo de los Olmos no. 44"
"VI-45","VI","45","Paseo de los Olmos no. 45"
"VI-46","VI","46","Paseo de los Olmos no. 46"
"VI-47","VI","47","Paseo de los Olmos no. 47"
"VI-48","VI","48","Paseo de los Olmos no. 48"
"VI-49","VI","49","Paseo de los Olmos no. 49"
"VI-5","VI","5","Paseo del Manantial no. 239"
"VI-50","VI","50","Paseo de los Olmos no. 50"
"VI-51","VI","51","Paseo de los Olmos no. 51"
"VI-52","VI","52","Paseo de los Olmos no. 52"
"VI-53","VI","53","Paseo del Manantial no. 258"
"VI-54","VI","54","Paseo del Manantial no. 256"
"VI-55","VI","55","Paseo del Manantial no. 254"
"VI-56","VI","56","Paseo del Manantial no. 252"
"VI-57","VI","57","Paseo del Manantial no. 250"
"VI-58","VI","58","Paseo del Manantial no. 248"
"VI-59","VI","59","Paseo del Manantial no. 246"
"VI-6","VI","6","Paseo del Manantial no. 237"
"VI-60","VI","60","Paseo del Manantial no. 244"
"VI-61","VI","61","Paseo del Manantial no. 242"
"VI-62","VI","62","Paseo del Manantial no. 240"
"VI-63","VI","63","Paseo del Manantial no. 238"
"VI-64","VI","64","Paseo de los Olmos no. 64"
"VI-65","VI","65","Paseo de los Olmos no. 65"
"VI-66","VI","66","Paseo de los Olmos no. 66"
"VI-67","VI","67","Paseo de los Olmos no. 67"
"VI-68","VI","68","Paseo de los Olmos no. 68"
"VI-69","VI","69","Paseo de los Olmos no. 69"
"VI-7","VI","7","Paseo del Manantial no. 235"
"VI-70","VI","70","Paseo de los Olmos no. 70"
"VI-71","VI","71","Paseo de los Olmos no. 71"
"VI-72","VI","72","Paseo de los Olmos no. 72"
"VI-8","VI","8","Paseo del Manantial no. 233"
"VI-9","VI","9","Paseo del Manantial no. 231"
"VII-1","VII","1","Paseo del Manantial no. 260"
"VII-10","VII","10","Paseo de los Sauces no. 10"
"VII-11","VII","11","Paseo de los Sauces no. 11"
"VII-12","VII","12","Paseo de los Sauces no. 12"
"VII-13","VII","13","Paseo de los Sauces no. 13"
"VII-14","VII","14","Paseo de los Sauces no. 14"
"VII-15","VII","15","Paseo de los Sauces no. 15"
"VII-16","VII","16","Paseo de los Sauces no. 16"
"VII-17","VII","17","Paseo de los Sauces no. 17"
"VII-18","VII","18","Paseo de los Sauces no. 18"
"VII-19","VII","19","Paseo de los Sauces no. 19"
"VII-2","VII","2","Paseo del Manantial no. 262"
"VII-20","VII","20","Paseo de los Sauces no. 20"
"VII-21","VII","21","Paseo de los Sauces no. 21"
"VII-22","VII","22","Paseo de los Sauces no. 22"
"VII-23","VII","23","Paseo de los Sauces no. 23"
"VII-24","VII","24","Paseo de los Sauces no. 24"
"VII-25","VII","25","Paseo de los Sauces no. 25"
"VII-26","VII","26","Paseo de los Sauces no. 26"
"VII-27","VII","27","Paseo de los Sauces no. 27"
"VII-28","VII","28","Paseo de los Sauces no. 28"
"VII-29","VII","29","Paseo de los Sauces no. 29"
"VII-3","VII","3","Paseo de los Sauces no. 3"
"VII-30","VII","30","Paseo de los Sauces no. 30"
"VII-31","VII","31","Paseo de los Sauces no. 31"
"VII-32","VII","32","Paseo de los Sauces no. 32"
"VII-33","VII","33","Paseo de los Sauces no. 33"
"VII-34","VII","34","Paseo del Manantial no. 274"
"VII-35","VII","35","Paseo del Manantial no. 276"
"VII-36","VII","36","Paseo del Manantial no. 272"
"VII-37","VII","37","Paseo del Manantial no. 270"
"VII-38","VII","38","Paseo del Manantial no. 268"
"VII-39","VII","39","Paseo del Manantial no. 266"
"VII-4","VII","4","Paseo de los Sauces no. 4"
"VII-40","VII","40","Paseo de los Sauces no. 40"
"VII-41","VII","41","Paseo de los Sauces no. 41"
"VII-42","VII","42","Paseo de los Sauces no. 42"
"VII-43","VII","43","Paseo de los Sauces no. 43"
"VII-44","VII","44","Paseo de los Sauces no. 44"
"VII-45","VII","45","Paseo de los Sauces no. 45"
"VII-46","VII","46","Paseo de los Sauces no. 46"
"VII-47","VII","47","Paseo de los Sauces no. 47"
"VII-48","VII","48","Paseo de los Sauces no. 48"
"VII-49","VII","49","Paseo de los Sauces no. 49"
"VII-5","VII","5","Paseo de los Sauces no. 5"
"VII-50","VII","50","Paseo de los Sauces no. 50"
"VII-51","VII","51","Paseo de los Sauces no. 51"
"VII-52","VII","52","Paseo de los Sauces no. 52"
"VII-53","VII","53","Paseo de los Sauces no. 53"
"VII-6","VII","6","Paseo de los Sauces no. 6"
"VII-7","VII","7","Paseo de los Sauces no. 7"
"VII-8","VII","8","Paseo de los Sauces no. 8"
"VII-9","VII","9","Paseo de los Sauces no. 9"
"VIII-1","VIII","1","Paseo del Manantial no. 201"
"VIII-10","VIII","10","Paseo del Manantial no. 183"
"VIII-11","VIII","11","Paseo de los Abedules no. 11"
"VIII-12","VIII","12","Paseo de los Abedules no. 12"
"VIII-13","VIII","13","Paseo de los Abedules no. 13"
"VIII-14","VIII","14","Paseo de los Abedules no. 14"
"VIII-15","VIII","15","Paseo de los Abedules no. 15"
"VIII-16","VIII","16","Paseo de los Abedules no. 16"
"VIII-17","VIII","17","Paseo de los Abedules no. 17"
"VIII-18","VIII","18","Paseo de los Abedules no. 18"
"VIII-19","VIII","19","Paseo de los Abedules no. 19"
"VIII-2","VIII","2","Paseo del Manantial no. 199"
"VIII-20","VIII","20","Paseo de los Abedules no. 20"
"VIII-21","VIII","21","Paseo de los Abedules no. 21"
"VIII-22","VIII","22","Paseo de los Abedules no. 22"
"VIII-23","VIII","23","Paseo de los Abedules no. 23"
"VIII-24","VIII","24","Paseo de los Abedules no. 24"
"VIII-25","VIII","25","Paseo de los Abedules no. 25"
"VIII-26","VIII","26","Paseo de los Abedules no. 26"
"VIII-27","VIII","27","Paseo de los Abedules no. 27"
"VIII-28","VIII","28","Paseo de los Abedules no. 28"
"VIII-29","VIII","29","Paseo de los Abedules no. 29"
"VIII-3","VIII","3","Paseo del Manantial no. 197"
"VIII-30","VIII","30","Paseo de los Abedules no. 30"
"VIII-31","VIII","31","Paseo de los Abedules no. 31"
"VIII-32","VIII","32","Paseo de los Abedules no. 32"
"VIII-33","VIII","33","Paseo de los Abedules no. 33"
"VIII-34","VIII","34","Paseo de los Abedules no. 34"
"VIII-35","VIII","35","Paseo de los Abedules no. 35"
"VIII-36","VIII","36","Paseo de los Abedules no. 36"
"VIII-37","VIII","37","Paseo de los Abedules no. 37"
"VIII-38","VIII","38","Paseo de los Abedules no. 38"
"VIII-39","VIII","39","Paseo de los Abedules no. 39"
"VIII-4","VIII","4","Paseo del Manantial no. 195"
"VIII-40","VIII","40","Paseo de los Abedules no. 40"
"VIII-41","VIII","41","Paseo de los Abedules no. 41"
"VIII-42","VIII","42","Paseo del Manantial no. 179"
"VIII-43","VIII","43","Paseo del Manantial no. 177"
"VIII-44","VIII","44","Paseo de los Abedules no. 44"
"VIII-45","VIII","45","Paseo de los Abedules no. 45"
"VIII-46","VIII","46","Paseo de los Abedules no. 46"
"VIII-47","VIII","47","Paseo de los Abedules no. 47"
"VIII-48","VIII","48","Paseo de los Abedules no. 48"
"VIII-49","VIII","49","Paseo de los Abedules no. 49"
"VIII-5","VIII","5","Paseo del Manantial no. 193"
"VIII-50","VIII","50","Paseo de los Abedules no. 50"
"VIII-6","VIII","6","Paseo del Manantial no. 191"
"VIII-7","VIII","7","Paseo del Manantial no. 189"
"VIII-8","VIII","8","Paseo del Manantial no. 187"
"VIII-9","VIII","9","Paseo del Manantial no. 185"
"X-1","X","1","Paseo del Manantial no. 141"
"X-10","X","10","Paseo del Manantial no. 123"
"X-11","X","11","Paseo del Manantial no. 121"
"X-12","X","12","Paseo del Manantial no. 119"
"X-2","X","2","Paseo del Manantial no. 139"
"X-3","X","3","Paseo del Manantial no. 137"
"X-4","X","4","Paseo del Manantial no. 135"
"X-5","X","5","Paseo del Manantial no. 133"
"X-6","X","6","Paseo del Manantial no. 131"
"X-7","X","7","Paseo del Manantial no. 129"
"X-8","X","8","Paseo del Manantial no. 127"
"X-9","X","9","Paseo del Manantial no. 125"
"XI-1","XI","1","Paseo de los Cedros no. 1"
"XI-10","XI","10","Paseo de los Cedros no. 10"
"XI-11","XI","11","Paseo de los Cedros no. 11"
"XI-12","XI","12","Paseo de los Cedros no. 12"
"XI-13","XI","13","Paseo de los Cedros no. 13"
"XI-14","XI","14","Paseo de los Cedros no. 14"
"XI-15","XI","15","Paseo de los Cedros no. 15"
"XI-16","XI","16","Paseo de los Cedros no. 16"
"XI-17","XI","17","Paseo de los Cedros no. 17"
"XI-18","XI","18","Paseo de los Cedros no. 18"
"XI-19","XI","19","Paseo de los Cedros no. 19"
"XI-2","XI","2","Paseo de los Cedros no. 2"
"XI-20","XI","20","Paseo de los Cedros no. 20"
"XI-21","XI","21","Paseo de los Cedros no. 21"
"XI-22","XI","22","Paseo de los Cedros no. 22"
"XI-23","XI","23","Paseo de los Cedros no. 23"
"XI-24","XI","24","Paseo de los Cedros no. 24"
"XI-25","XI","25","Paseo de los Cedros no. 25"
"XI-26","XI","26","Paseo de los Cedros no. 26"
"XI-27","XI","27","Paseo de los Cedros no. 27"
"XI-28","XI","28","Paseo de los Cedros no. 28"
"XI-29","XI","29","Paseo de los Cedros no. 29"
"XI-3","XI","3","Paseo de los Cedros no. 3"
"XI-30","XI","30","Paseo de los Cedros no. 30"
"XI-31","XI","31","Paseo de los Cedros no. 31"
"XI-32","XI","32","Paseo del Manantial no. 226"
"XI-4","XI","4","Paseo de los Cedros no. 4"
"XI-5","XI","5","Paseo de los Cedros no. 5"
"XI-6","XI","6","Paseo de los Cedros no. 6"
"XI-7","XI","7","Paseo de los Cedros no. 7"
"XI-8","XI","8","Paseo de los Cedros no. 8"
"XI-9","XI","9","Paseo de los Cedros no. 9"
"ADM-1","ADM","1","Administración"
"ADM-2","ADM","2","Tratamiento de agua"
"ADM-3","ADM","3","Otros"
